text,label,id
"ऑटोरिक्शा चालक जावेद खान कहते हैं, ""कोविड-19 का गंभीर मरीज बिना ऑक्सीजन सपोर्ट के अस्पताल नहीं लाया जा सकता है. इसलिए मैंने सोचा ऑटोरिक्शा को एंबुलेंस में क्यों ना बदल डालूं."" #IndiaCovidCrisis #OxygenCrisis   https://t.co/F1snlleyMP",NOT,0
@Raghuveerdutt62 @Arunesh24797107 रघुवीर जी यही सत्य है कि वानर कोई बड़े-बड़े बाल वाले पूंछ वाले जानवर नहीं बल्कि समृद्ध और सभ्य वनवासी प्रकृति पूजक मनुष्य थे,NOT,1
@Drmahera552 @common000786 मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,2
@sab_hateDMS Does she wear mesh hooker hose and have a Phd from a community college?,HOF,3
"What a bunch of absolute fucking idiots in #india #IndiaCovidCrisis. Brainless morons wonder why they have a ""crisis"" (this is goa, sent by an Armenian living there for months 🤦‍♀️)  @PotatoFarmUSA @2020Boogaloo0 @noonesp95429433 https://t.co/2RLitcXyyw",HOF,4
I donâ€™t fuck with anyone and yet I still hear about me from all over.. you fragile ass niggas gotta take my fucking dick out of your mouth,HOF,5
We never had our priorities right. Never. #ResignModi #CentralVista https://t.co/65C3QBDRwD,HOF,6
"किसी ने नहीं सोचा था ये दिन भी देखना पड़ेगा, मरहूम के मैयत के लिये उनका लड़का दिल्ली पुलिस से विनती कर रहा देने के लिये, लेकिन दिल्ली पुलिस देने को राजी नहीं है, कहने को राजद के बड़े नेता सम्पर्क में है, लेकिन असलियत वहाँ कोई नहीं है,  #JusticeForShahabuddin",NOT,7
"@China_Amb_India @narendramodi I am shocked they didn't mention a line (Karam, you have been our worst sufferer) (करम हमारे ख़राब ह भुगत आप रहे ह) #wohanvirus  #chinesevirus",NOT,8
अच्छा भई @JitinPrasada बताओ यार अब @myogiadityanath के द्वारा ब्राह्मणों पर किये जा रहे अत्याचारों पर हल्ला करोगे या दुबके रहोगे कहीं कोने में सिंधिया जैसा।😂 #दोगला,HOF,9
इस 20 वर्षीय अध्ययनरत लड़की का सामुहिक बलात्कार सर्फ इसलिए हुआ कि इसने ममता की तृणमूल को अपना समर्थन मत नहीं दिया। जीत का जश्न इसकी इज्जत से मनाया गया। ये लोकतंत्र व्यवस्था पर सबसे बड़ा धब्बा है। #ममता_की_निर्ममता  #BengalBurning https://t.co/ia2jj1GOa2,HOF,10
"In India,where rules areÂ as it wereÂ for common citizens only. WastingÂ cashÂ onÂ enormousÂ ralliesÂ won'tÂ offer assistanceÂ India to overcome thisÂ pandemic. WhyÂ do notÂ these political partiesÂ contributeÂ theseÂ huge cashÂ onÂ openÂ healthcare infrastructures? #ResignModi #CovidIndia https://t.co/Lji7fH72Q8",HOF,11
मुखाल्फत से सब बौखलाएगे | अब सारे आस्तीन के साँप  बिलबिलाएगे | आपका जो होना था हो गया साहेब | आपके दफन के बाद सब सियासतदा रोते हुए नज़र आएगे #JusticeForShahabuddin  @shanu_sab @RJDforIndia @aimim_national,NOT,12
लोग ऑक्सीजन की कमी से मर रहे लेकिन PM का लग्जरी बंगला बनना ही चाहिये- #ResignModi,NOT,13
"Delaying opening up on June 21 is bollocks!! You want facts? - Viruses continually mutate so letâ€™s stop naming â€˜variantsâ€™,,, it will be an endless task - NHS is no longer at risk. It never was, it was just underfunded - There are bigger health threats than Covid - Wake up! ðŸ¤¨",HOF,14
"@ippatel @tushar @ChouhanShivraj @narendramodi @PMOIndia @ChouhanShivraj मामाजी , आपने किस गधे के कहने पर जड़बुद्धि @tushar को रख लिया। इस टुच्चे की ख़ुदकी कम्युनिकेशन स्किल घटिया है ...ये आपकी भी मटियामेट कर देगा।",NOT,15
@rajanishagg @ShayarImran @KhanAmanatullah रोहित सरदाना कोविड पॉजिटिव थे उनकी डेड बॉडी उनके शहर जाने की परमिशन दी जा सकती है...  मगर बिहार के पूर्व सांसद मोहम्मद शहाबुद्दीन जिनकी रिपोर्ट नेगेटिव थी... उनकी डेड बॉडी ना सिवान जाने दी गई ना परिवार को दी गई!!  क्यों??? #JusticeForShahabuddin #JusticeForShahabuddin,NOT,16
@ydvshailendra00 मेरी चिंता का कारण कांग्रेस या bjp नहीं है मेरी चिंता का कारण है हमारे पुर्वज महाराज भरत का अखंड भारत और हमारा सनातन धर्म और हमारी श्री मत भागवत गीता। मै नही चाहता कोई मुगल हिन्दू बहन बेटियों को वेश्या बनाकर मीना बाजार में नचाये।,NOT,17
"oh to be fucked in front of a mirror and having the Dom pull your head up by ur hair just to say ""i want you to see how pathetic you look as you struggle to take my dick"" https://t.co/NYyod43Qxb",HOF,18
"ना कर फ़िक्र ए ओसामा, की तू एक नन्हा सा चिराग है  तेरे हौसले मे छिपे है ना जाने कितने आफताब है  #JusticeForShahabuddin 🤲 https://t.co/a2eFk5VJ6E",NOT,19
@narendramodi Go à¤®à¥‹à¤¦à¥€ go. We as a nation can't expect to hv an irresponsible leadership. Ur a complete lie &amp; nation can't prosper under u. Ur Thorne sits on pile of bodies of those who trusted u. Shameless @BJP4India #ResignPMmodi #AmitShah #R,HOF,20
"@UnitedWithINC @tonyJatinder9 They obviously think bhakts are fools, and ofcourse the bhakts are as fake as their BJP lords. How did we land up with these terrible people in power? #movid21 #ResignModi #ResignAmitShah",HOF,21
Jst we know 2 cry on the lynches done by the #goons in #Bengal . If u R considering urself a secular and well educated being silent.die of shame. nearly one 1lakh #Hindusinbengal forced to flee away of their own houses.. shame on ur #Secularism #BengalBurning  @AmitShahOffice hlp,HOF,22
@aajtak अखंड चुटिया पान।।,HOF,23
“ Coronavirus is just part of the problem – the real problem is that India now doesn’t have the capacity to respond to any major crisis because of what has been done to its systems over the last six years.” #IndiaCovidCrisis #ModiMadeDisaster,NOT,24
It's 6th day since the vaccination started for 18+ and Telangana Govt is busy doing politics with their own party leader. Please stop politics n save the ppl. Where are the vaccines @KTRTRS @TelanganaCMO ? #ShameOnKCR #Telangana #CovidVaccine #TelanganaHighCourt,HOF,25
I’ve had one dose of phizer vaccine and the side effects are no fun folks #CovidVaccine #COVID19,NOT,26
"अरे @TajinderBagga उर्फ लक्कड़बग्गे ये इन्शान बीजेपी जॉइन कर रहा है जो मोदी जी और योगी जी का विरोधी रहा है, जैसे MP CM के OSD को उसके ट्वीट को लेकर तुमने मुद्दा बनाया था हिम्मत है तो अब इनका मुद्दा बनाकर दिखा।। नही तो दोगला तो तूँ है ही, https://t.co/eJs9ox2TWU",HOF,27
@Ravishk356 अवारा कुत्ता भौकने से बाज नहीं आता है।,HOF,28
@weaniejeanie53 Bloody hell! That tree is a living thing!,HOF,29
